Age,Gender,Time_Spent_Minutes,Pages_Viewed,Previous_Purchases,Purchased
27,Female,7,12,2,0
54,Female,6,10,8,0
33,Male,54,19,9,0
18,Female,43,10,8,1
46,Male,56,18,0,0
43,Male,47,11,7,0
47,Male,18,5,7,0
47,Male,16,1,4,1
26,Female,57,1,6,0
27,Female,10,11,3,1
18,Male,34,9,4,0
58,Male,52,18,5,0
54,Male,25,14,3,0
34,Female,53,4,5,0
54,Female,47,1,9,1
29,Female,39,1,2,1
42,Male,45,7,3,0
51,Male,51,6,2,1
26,Male,37,16,2,0
54,Male,35,8,5,1
32,Male,27,1,8,1
31,Male,10,1,4,1
23,Male,50,19,1,0
31,Male,23,3,6,1
43,Female,55,18,7,0
31,Male,53,7,1,1
46,Female,49,11,7,1
40,Female,6,8,1,0
48,Female,48,1,2,1
48,Male,18,8,9,0
43,Male,23,11,2,0
30,Male,32,17,7,0
19,Female,24,3,4,1
49,Male,42,3,6,0
54,Female,12,13,7,1
45,Male,29,11,3,1
36,Female,44,16,2,1
47,Female,20,1,3,1
31,Female,11,6,9,1
40,Female,49,17,2,0
41,Female,14,6,5,0
48,Female,55,12,0,1
29,Male,5,11,7,1
46,Female,49,7,2,1
28,Female,9,8,6,1
42,Female,19,1,5,0
27,Female,50,10,7,1
33,Female,58,7,3,0
36,Female,9,15,7,0
34,Male,11,17,0,0
25,Male,47,18,3,0
42,Female,14,14,6,1
29,Female,49,1,0,0
35,Male,53,18,7,0
25,Female,41,10,2,0
29,Female,31,17,9,0
46,Female,43,18,5,1
51,Male,25,11,1,1
38,Female,14,17,0,0
50,Male,45,9,2,0
42,Female,21,2,3,0
23,Male,16,13,1,1
22,Male,44,12,4,1
25,Female,22,6,2,1
42,Female,44,16,0,1
42,Male,54,4,2,0
52,Female,38,15,8,1
58,Female,16,15,8,0
33,Female,19,14,8,0
31,Male,47,18,6,1
42,Female,20,2,5,0
33,Female,26,3,8,1
24,Male,10,2,8,1
39,Female,53,2,8,0
40,Female,18,3,0,0
29,Female,45,13,6,1
30,Male,8,13,1,0
46,Female,36,19,2,1
50,Male,17,15,8,1
33,Male,28,14,3,0
58,Female,22,3,9,1
51,Female,34,6,8,1
58,Female,10,18,6,1
43,Female,55,18,7,0
27,Female,56,2,5,1
55,Male,25,11,1,0
18,Male,10,16,6,0
36,Female,49,16,9,1
41,Female,11,17,6,1
21,Male,45,7,7,1
47,Male,21,18,9,0
34,Male,15,3,5,0
38,Male,9,7,9,1
36,Male,27,2,2,1
32,Male,24,6,4,0
33,Male,26,9,8,1
35,Male,14,17,9,0
43,Male,40,16,2,0
35,Male,40,4,0,1
50,Female,53,1,0,1
